"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "encodingImgTargetFile", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\data\calendarevents.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 1, 4, 92
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\data\data.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\data\notification.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\data\projects.js", "JavaScript", 268, 0, 0, 0, 0, 0, 0, 0, 3, 271
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\data\reports.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 0, 3, 297
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\data\task.js", "JavaScript", 318, 0, 0, 0, 0, 0, 0, 0, 3, 321
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\data\user.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\package-lock.json", "JSON", 0, 3795, 0, 0, 0, 0, 0, 0, 1, 3796
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\activity\activity.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\activity\add.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\activity\check.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\activity\time.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\activity\user.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\arrow-down-yellow.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\arrow-down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\attach.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\calendar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\check-black.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 1, 0, 9
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\check.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\active-project-cards.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\alarm-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\messages-cards-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\project-cards-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\project\cancel.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\project\tick.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\reports-cards-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\task\close-failed.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\task\close-true.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\task\pending-failed.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\task\pending-true.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
